,color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
42,color,michael patrick king,146,95328937.0,comedy|drama|romance,sex and the city 2,2010,english,usa,100000000,4.3,"chris noth,liza minnelli,kristin davis",0
43,color,tate taylor,146,169705587.0,drama,the help,2011,english,usa,25000000,8.1,"emma stone,bryce dallas howard,mike vogel",75000
44,color,francis lawrence,146,424645577.0,adventure|sci-fi|thriller,the hunger games: catching fire,2013,english,usa,130000000,7.6,"jennifer lawrence,josh hutcherson,sandra ellis lafferty",82000
45,black and white,steven spielberg,146,79883359.0,drama|war,war horse,2011,english,usa,66000000,7.2,"jeremy irvine,benedict cumberbatch,eddie marsan",28000
46,color,michael bay,144,52822418.0,action|drama|thriller|war,13 hours,2016,english,usa,50000000,7.4,"toby stephens,james badge dale,david costabile",44000
47,color,guillaume canet,144,41229.0,crime|drama|thriller,blood ties,2013,english,france,25500000,6.5,"mila kunis,lili taylor,billy crudup",0
48,color,paul thomas anderson,144,16377274.0,drama,the master,2012,english,usa,32000000,7.1,"mike howard,jeffrey w. jenkins,bruce goodchild",27000
49,color,bryan singer,144,154985087.0,action|adventure|sci-fi,x-men: apocalypse,2016,english,usa,178000000,7.3,"jennifer lawrence,michael fassbender,tye sheridan",54000
50,color,adam mckay,143,2175312.0,comedy,anchorman 2: the legend continues,2013,english,usa,50000000,6.3,"harrison ford,will ferrell,steve carell",41000
51,color,zack snyder,143,291021565.0,action|adventure|fantasy|sci-fi,man of steel,2013,english,usa,225000000,7.2,"henry cavill,christopher meloni,harry lennix",118000
52,color,sam mendes,143,304360277.0,action|adventure|thriller,skyfall,2012,english,uk,200000000,7.8,"albert finney,helen mccrory,rory kinnear",80000
53,color,sam mendes,143,304360277.0,action|adventure|thriller,skyfall,2012,english,uk,200000000,7.8,"albert finney,helen mccrory,rory kinnear",80000
54,color,baz luhrmann,143,144812796.0,drama|romance,the great gatsby,2013,english,australia,105000000,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000
55,color,baz luhrmann,143,144812796.0,drama|romance,the great gatsby,2013,english,australia,105000000,7.3,"leonardo dicaprio,elizabeth debicki,steve bisley",115000
56,,,143,,drama|horror|thriller,the ridges,2011,english,usa,17350,3.0,"robbie barnes,alana kaniewski,brandon landers",33
57,color,steven spielberg,142,72306065.0,drama|history|thriller,bridge of spies,2015,english,usa,40000000,7.6,"tom hanks,mark rylance,amy ryan",55000
58,color,marc webb,142,202853933.0,action|adventure|fantasy|sci-fi,the amazing spider-man 2,2014,english,usa,200000000,6.7,"emma stone,andrew garfield,b.j. novak",41000
59,color,,142,407999255.0,adventure|drama|sci-fi|thriller,the hunger games,2012,english,usa,78000000,7.3,"jennifer lawrence,josh hutcherson,anthony reynolds",140000
60,color,joss whedon,141,458991599.0,action|adventure|sci-fi,avengers: age of ultron,2015,english,usa,250000000,7.5,"chris hemsworth,robert downey jr.,scarlett johansson",118000
61,color,timur bekmambetov,141,,adventure|drama|history,ben-hur,2016,english,usa,100000000,6.1,"morgan freeman,ayelet zurer,moises arias",0
62,color,timur bekmambetov,141,,adventure|drama|history,ben-hur,2016,english,usa,100000000,6.0,"morgan freeman,ayelet zurer,moises arias",0
63,color,timur bekmambetov,141,,adventure|drama|history,ben-hur,2016,english,usa,100000000,6.1,"morgan freeman,ayelet zurer,moises arias",0
64,color,justin chadwick,141,8324748.0,biography|drama|history,mandela: long walk to freedom,2013,english,uk,35000000,7.1,"terry pheto,fana mokoena,tony kgoroge",13000
65,,oliver stone,141,47307550.0,crime|drama|thriller,savages,2012,english,usa,45000000,6.5,"demián bichir,shea whigham,gary stretch",28000
66,color,david dobkin,141,47105085.0,crime|drama,the judge,2014,english,usa,50000000,7.4,"robert downey jr.,robert duvall,leighton meester",47000
67,color,ryan murphy,140,80574010.0,drama|romance,eat pray love,2010,english,usa,60000000,5.7,"james franco,julia roberts,billy crudup",26000
68,color,james wan,140,350034110.0,action|crime|thriller,furious 7,2015,english,usa,190000000,7.2,"jason statham,paul walker,vin diesel",94000
69,color,derek cianfrance,140,21383298.0,crime|drama|thriller,the place beyond the pines,2012,english,usa,15000000,7.3,"ryan gosling,ben mendelsohn,angelo anthony pizza",47000
70,color,gavin o'connor,140,13651662.0,drama|sport,warrior,2011,english,usa,25000000,8.2,"tom hardy,frank grillo,kevin dunn",77000
71,color,,139,150832203.0,adventure|mystery|sci-fi,divergent,2014,english,usa,85000000,6.7,"kate winslet,theo james,mekhi phifer",49000
72,color,gary ross,139,20389967.0,action|biography|drama|history|war,free state of jones,2016,english,usa,50000000,6.7,"matthew mcconaughey,donald watkins,jessica collins",10000
73,color,tate taylor,139,30513940.0,biography|drama|music,get on up,2014,english,usa,30000000,6.9,"tika sumpter,josh hopkins,aunjanue ellis",11000
74,,terrence malick,139,13303319.0,drama|fantasy,the tree of life,2011,english,usa,32000000,6.7,"brad pitt,tye sheridan,fiona shaw",39000
75,color,,138,150117807.0,crime|drama,american hustle,2013,english,usa,40000000,7.3,"jennifer lawrence,christian bale,bradley cooper",63000
76,,robert zemeckis,138,93749203.0,drama|thriller,flight,2012,english,usa,31000000,7.3,"denzel washington,bruce greenwood,nadine velazquez",64000
77,color,darren aronofsky,138,101160529.0,action|adventure|drama,noah,2014,english,usa,125000000,5.8,"anthony hopkins,emma watson,logan lerman",71000
78,color,martin scorsese,138,127968405.0,mystery|thriller,shutter island,2010,english,usa,80000000,8.1,"leonardo dicaprio,joseph sikora,nellie sciutto",53000
79,color,ridley scott,138,16969390.0,crime|drama|thriller,the counselor,2013,english,usa,25000000,5.3,"michael fassbender,brad pitt,goran visnjic",24000
80,,james mangold,138,132550960.0,action|adventure|sci-fi|thriller,the wolverine,2013,english,usa,120000000,6.7,"hugh jackman,tao okamoto,rila fukushima",68000
81,color,daniel espinosa,137,1206135.0,crime|drama|thriller,child 44,205,english,czech republic,50000000,6.4,"tom hardy,fares fares,michael nardone",18000
82,color,,137,37304950.0,biography|crime|drama,j. edgar,2011,english,usa,35000000,6.6,"leonardo dicaprio,naomi watts,kaitlyn dever",16000
83,,walter salles,137,717753.0,adventure|drama,on the road,2012,english,france,25000000,6.1,"kristen stewart,viggo mortensen,kirsten dunst",27000
84,color,,137,281666058.0,adventure|sci-fi,the hunger games: mockingjay - part 2,2015,english,usa,160000000,6.6,"jennifer lawrence,philip seymour hoffman,josh hutcherson",38000
85,color,angelina jolie pitt,137,115603980.0,biography|drama|sport|war,unbroken,2014,english,usa,65000000,0.0,"finn wittrock,jack o'connell,alex russell",35000
86,color,angelina jolie pitt,137,115603980.0,biography|drama|sport|war,unbroken,2014,english,usa,65000000,7.2,"finn wittrock,jack o'connell,alex russell",35000
87,,seth macfarlane,136,42615685.0,comedy|western,a million ways to die in the west,2014,english,usa,40000000,6.1,"liam neeson,charlize theron,seth macfarlane",24000
88,color,anthony russo,136,259746958.0,action|adventure|sci-fi,captain america: the winter soldier,2014,english,usa,170000000,7.8,"scarlett johansson,chris evans,hayley atwell",55000
89,color,rob marshall,136,241063875.0,action|adventure|fantasy,pirates of the caribbean: on stranger tides,2011,english,usa,250000000,6.7,"johnny depp,sam claflin,stephen graham",58000
90,color,adam shankman,136,38509342.0,comedy|drama|musical|romance,rock of ages,2012,english,usa,75000000,5.9,"james martin kelly,shane hartline,celina beach",33000
91,color,,136,52474616.0,drama,wall street: money never sleeps,2010,english,usa,70000000,6.3,"frank langella,austin pendleton,john buffalo mailer",13000
92,color,sadyk sher-niyaz,135,,action|biography|drama|history,queen of the mountains,2014,english,kyrgyzstan,1400000,8.7,"elina abai kyzy,aziz muradillayev,mirlan abdulayev",0
93,color,tony gilroy,135,113165635.0,action|adventure|thriller,the bourne legacy,2012,english,usa,125000000,6.7,"jeremy renner,scott glenn,stacy keach",31000
94,color,steve mcqueen,134,56667870.0,biography|drama|history,12 years a slave,2013,english,usa,20000000,8.1,"quvenzhané wallis,scoot mcnairy,taran killam",83000
95,color,richard j. lewis,134,7501404.0,comedy|drama,barney's version,2010,english,canada,,7.3,"mark addy,atom egoyan,paul gross",0
96,color,paul greengrass,134,107100855.0,biography|drama|thriller,captain phillips,2013,english,usa,55000000,7.9,"tom hanks,chris mulkey,michael chernus",65000
97,color,david ayer,134,85707116.0,action|drama|war,fury,2014,english,usa,68000000,7.6,"brad pitt,logan lerman,jim parrack",82000
98,color,clint eastwood,5,47034272.0,biography|drama|music|musical,jersey boys,2014,english,usa,40000000,6.9,"johnny cannizzaro,steve schirripa,scott vance",16000
